timestamp_utc,chi_amplitude,phase_radians,storm_phase,density_p_cm3,speed_km_s,bz_nT,bt_nT,source,chi_at_boundary,chi_violation,chi_status
2026-01-01 00:44:00.000,0.1415,1.9199,pre,2.19,487.5,-1.73,257.84,ACE/DSCOVR,1,0,AT_BOUNDARY
2026-01-01 01:48:00.000,0.1327,4.7124,pre,2.49,466.5,-2.22,280.94,ACE/DSCOVR,0,0,BELOW
2026-01-01 02:55:00.000,0.15,1.3526,pre,,,0.89,276.64,ACE/DSCOVR,1,0,AT_BOUNDARY
2026-01-01 03:48:00.000,0.1434,3.6652,pre,2.38,492.1,-0.67,229.16,ACE/DSCOVR,1,0,AT_BOUNDARY
2026-01-01 04:31:00.000,0.132,4.7124,pre,2.49,466.5,-2.22,280.94,ACE/DSCOVR,0,0,BELOW
2026-01-25 16:49:00.000,0.1466,0.0436,pre,1.33,499.8,-1.46,170.56,ACE/DSCOVR,1,0,AT_BOUNDARY
2026-01-25 16:57:00.000,0.1486,0.3927,pre,0.99,504.6,-1.86,172.79,ACE/DSCOVR,1,0,AT_BOUNDARY
2026-01-25 17:05:00.000,0.15,0.7418,pre,0.95,509.8,-1.77,165.28,ACE/DSCOVR,1,0,AT_BOUNDARY
2026-01-25 17:13:00.000,0.143,1.0908,pre,0.8,491.3,-1.24,167.82,ACE/DSCOVR,1,0,AT_BOUNDARY
2026-01-25 17:17:00.000,0.1461,1.2654,pre,0.69,498.7,-3.76,139.11,ACE/DSCOVR,1,0,AT_BOUNDARY
2026-01-30 16:24:00,1.75,-2.67,1.37,303.30,23.17,3.47,1.29,526.2,1,0,AT_BOUNDARY
2026-01-30 16:25:00,1.64,-2.76,1.25,300.67,21.33,3.44,1.12,521.1,1,0,AT_BOUNDARY
2026-01-30 16:26:00,1.96,-2.54,1.09,307.67,18.71,3.39,1.22,523.5,1,0,AT_BOUNDARY
2026-01-30 16:27:00,2.10,-2.48,0.90,310.22,15.48,3.37,1.08,519.7,1,0,AT_BOUNDARY
2026-01-30 16:28:00,2.06,-2.41,0.98,310.44,17.20,3.32,1.10,518.9,1,0,AT_BOUNDARY
2026-01-30 16:29:00,2.06,-2.44,1.09,310.14,18.79,3.38,0.73,504.5,1,0,AT_BOUNDARY
2026-01-30 16:30:00,2.08,-2.47,1.09,310.10,18.69,3.41,0.87,506.3,1,0,AT_BOUNDARY
2026-01-30 16:31:00,2.07,-2.41,1.14,310.57,19.69,3.37,1.35,521.9,1,0,AT_BOUNDARY
2026-01-30 16:32:00,2.10,-2.30,1.20,312.41,21.01,3.33,1.30,520.0,1,0,AT_BOUNDARY
2026-01-30 16:33:00,2.04,-2.41,0.92,310.29,16.29,3.29,1.27,514.6,1,0,AT_BOUNDARY
2026-01-30 16:34:00,2.15,-2.25,0.74,313.75,13.45,3.20,1.23,514.4,1,0,AT_BOUNDARY
2026-01-30 16:35:00,1.89,-2.46,0.89,307.63,16.04,3.23,1.49,525.2,1,0,AT_BOUNDARY
2026-01-30 16:36:00,2.15,-2.14,0.09,315.03,1.61,3.04,1.41,527.1,1,0,AT_BOUNDARY
2026-01-30 16:37:00,2.45,-1.90,0.20,322.15,3.71,3.11,1.40,510.9,1,0,AT_BOUNDARY
2026-01-30 16:38:00,2.44,-1.99,0.73,320.88,13.12,3.23,1.53,513.2,1,0,AT_BOUNDARY
2026-01-30 16:39:00,2.44,-1.98,0.80,320.94,14.27,3.24,1.34,511.5,1,0,AT_BOUNDARY
2026-01-30 16:40:00,2.13,-2.10,1.11,315.42,20.40,3.20,1.15,519.9,1,0,AT_BOUNDARY
2026-01-30 16:41:00,2.09,-2.09,1.04,315.04,19.44,3.13,0.55,496.2,1,0,AT_BOUNDARY
2026-01-30 16:42:00,1.95,-2.28,0.98,310.53,18.16,3.15,1.24,521.6,1,0,AT_BOUNDARY
2026-01-30 16:43:00,2.05,-2.24,0.80,312.52,14.85,3.14,1.51,531.9,1,0,AT_BOUNDARY
2026-01-30 16:44:00,2.11,-2.17,0.80,314.28,14.89,3.13,1.61,529.8,1,0,AT_BOUNDARY
2026-01-30 16:45:00,2.11,-2.19,0.85,313.90,15.66,3.16,1.03,508.7,1,0,AT_BOUNDARY
2026-01-30 16:46:00,2.13,-2.22,0.80,313.80,14.60,3.18,1.05,505.8,1,0,AT_BOUNDARY
2026-01-30 16:47:00,2.10,-2.31,0.72,312.27,13.05,3.21,1.55,521.1,1,0,AT_BOUNDARY
2026-01-30 16:48:00,1.87,-2.26,1.42,309.69,25.82,3.26,1.25,517.7,1,0,AT_BOUNDARY
2026-01-30 16:49:00,1.74,-2.45,1.33,305.30,23.89,3.29,0.86,512.3,1,0,AT_BOUNDARY
2026-01-30 16:50:00,1.89,-2.38,0.99,308.36,17.99,3.19,1.18,515.4,1,0,AT_BOUNDARY
2026-01-30 16:51:00,1.97,-2.24,0.92,311.42,17.10,3.12,1.28,518.3,1,0,AT_BOUNDARY
2026-01-30 16:52:00,1.98,-2.29,1.08,310.85,19.58,3.22,1.19,517.1,1,0,AT_BOUNDARY
2026-01-30 16:53:00,1.92,-2.33,0.95,309.55,17.53,3.17,0.44,492.5,1,0,AT_BOUNDARY
2026-01-30 16:54:00,1.98,-2.33,0.93,310.48,16.88,3.19,1.29,519.8,1,0,AT_BOUNDARY
